,sfs,kapitel i OSL,paragraf i OSL,sekretess,kategori,antal år sekretessen gäller,kommentar,sdate,pre,prop,eu,prop_link,text_length,pages,sfs_url
209,2023:335,44,5,ökad,,,Inskränkt meddelarfrihet,2023-07-01,"Prop. 2022/23:97, bet. 2022/23:KU35, rskr. 2022/23:204",['2022/23:97'],False,['https://data.riksdagen.se/fil/F2D65A43-9310-4499-B515-D71D1F4A5A48'],1873,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-06/SFS2023-335.pdf
210,2023:353,23,2,,,,redaktionell ändring,2023-07-02,"Prop. 2022/23:94, bet. 2022/23:UbU14, rskr. 2022/23:207",['2022/23:94'],False,['https://data.riksdagen.se/fil/F4CFF02A-62AA-4FE3-A18B-AA0376E5BE97'],2481,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-06/SFS2023-353.pdf
211,2023:353,23,2a,,,,redaktionell ändring,2023-07-02,"Prop. 2022/23:94, bet. 2022/23:UbU14, rskr. 2022/23:207",['2022/23:94'],False,['https://data.riksdagen.se/fil/F4CFF02A-62AA-4FE3-A18B-AA0376E5BE97'],2481,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-06/SFS2023-353.pdf
212,2023:357,23,2a,,,,ikrafträndade,9,"Prop. 2022/23:94, bet. 2022/23:UbU14, rskr. 2022/23:207",['2022/23:94'],False,['https://data.riksdagen.se/fil/F4CFF02A-62AA-4FE3-A18B-AA0376E5BE97'],572,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-06/SFS2023-357.pdf
213,2023:373,18,16,minskad,,,vapenmagasin och vapenmäklarverksamhet,2023-07-01,"Prop. 2022/23:102, bet. 2022/23:JuU25, rskr. 2022/23:215",['2022/23:102'],False,['https://data.riksdagen.se/fil/6968BF4D-9859-47A5-844E-228599064C80'],1970,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-06/SFS2023-373.pdf
214,2023:373,18,16a,minskad,,,vapenmagasin och vapenmäklarverksamhet,2023-07-01,"Prop. 2022/23:102, bet. 2022/23:JuU25, rskr. 2022/23:215",['2022/23:102'],False,['https://data.riksdagen.se/fil/6968BF4D-9859-47A5-844E-228599064C80'],1970,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-06/SFS2023-373.pdf
215,2023:445,35,12b,,,,sekretessbrytande mellan myndigheter,9,"Prop. 2022/23:117, bet. 2022/23:JuU30, rskr. 2022/23:251",['2022/23:117'],False,['https://data.riksdagen.se/fil/9BCC61F9-0D1E-49D9-A84E-02B7556D89E4'],1056,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-06/SFS2023-445.pdf
216,2023:445,35,12c,,,,sekretessbrytande mellan myndigheter,9,"Prop. 2022/23:117, bet. 2022/23:JuU30, rskr. 2022/23:251",['2022/23:117'],False,['https://data.riksdagen.se/fil/9BCC61F9-0D1E-49D9-A84E-02B7556D89E4'],1056,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-06/SFS2023-445.pdf
217,2023:460,40,8,,,,,2024-01-01,"Prop. 2022/23:34, bet. 2022/23:FiU35, rskr. 2022/23:266",['2022/23:34'],False,['https://data.riksdagen.se/fil/5C13A216-F5B2-47DE-8470-788EC1D6B3C0'],1690,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-06/SFS2023-460.pdf
218,2023:460,17,1b,,,,,2024-01-01,"Prop. 2022/23:34, bet. 2022/23:FiU35, rskr. 2022/23:266",['2022/23:34'],False,['https://data.riksdagen.se/fil/5C13A216-F5B2-47DE-8470-788EC1D6B3C0'],1690,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-06/SFS2023-460.pdf
219,2023:460,40,7d,ökad,,,inskränkt meddelarfrihet,2024-01-01,"Prop. 2022/23:34, bet. 2022/23:FiU35, rskr. 2022/23:266",['2022/23:34'],False,['https://data.riksdagen.se/fil/5C13A216-F5B2-47DE-8470-788EC1D6B3C0'],1690,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-06/SFS2023-460.pdf
220,2023:545,,,,,,SFS:2022:1314 utgår,9,"Bet. 2022/23:JuU34, rskr. 2023/24:1",[],False,[],476,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-09/SFS2023-545.pdf
221,2023:546,,,,,,SFS: 2023:106 utgår,9,"Bet. 2022/23:JuU34, rskr. 2023/24:1",[],False,[],536,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-09/SFS2023-546.pdf
222,2023:547,,,,,,SFS: 2023: 445 utgår,9,"Bet. 2022/23:JuU34, rskr. 2023/24:1",[],False,[],474,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-09/SFS2023-547.pdf
223,2023:561,15,3b,minskad,,,sekretessbrytande mellan myndigheter,2023-12-01,"Prop. 2022/23:116, bet. 2022/23:JuU32, rskr. 2023/24:3",['2022/23:116'],False,['https://data.riksdagen.se/fil/3CCB08B7-AD03-44E0-9D5A-8A31AB1BB95E'],990,1,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-09/SFS2023-561.pdf
224,2023:640,27,1,,,,skattebeskrivning,2024-01-01,"Prop. 2022/23:121, bet. 2023/24:SkU2, rskr. 2023/24:12",['2022/23:121'],False,['https://data.riksdagen.se/fil/57513E7A-F943-40AF-B2D3-8420E96892E9'],3963,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-11/SFS2023-640.pdf
225,2023:640,27,2,,,,skattebeskrivning,2024-01-01,"Prop. 2022/23:121, bet. 2023/24:SkU2, rskr. 2023/24:12",['2022/23:121'],False,['https://data.riksdagen.se/fil/57513E7A-F943-40AF-B2D3-8420E96892E9'],3963,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-11/SFS2023-640.pdf
226,2023:693,26,14,ökad,,,"tilldelning av ledarhund, meddelarfrihet gäller",2024-04-01,"Prop. 2022/23:122, bet. 2023/24:SoU2, rskr. 2023/24:22",['2022/23:122'],False,['https://data.riksdagen.se/fil/12A643E9-C7A9-48D3-9405-932491BF06F8'],1789,2,https://svenskforfattningssamling.se/sites/default/files/sfs/2023-11/SFS2023-693.pdf
